participant_id,t1_success,t2_success,t3_success,t4_success,t5_success,t1_time_s,t2_time_s,t3_time_s,t4_time_s,t5_time_s,tlx_mental,tlx_physical,tlx_temporal,tlx_performance,tlx_effort,tlx_frustration,tlx_w_mental,tlx_w_physical,tlx_w_temporal,tlx_w_performance,tlx_w_effort,tlx_w_frustration,l1_t1_conf,l1_t2_conf,l1_t3_conf,l1_t4_conf,l1_t5_conf,l2_diff_clarity,l3_audit_nav,l4_prod_trust,l5_overall,l6_self_conf,l7_recommend
P01,1,1,0,1,1,50.6,154.6,109.4,98.9,69.2,46,4,39,18,37,30,3,1,1,2,5,3,7,5,3,5,5,6,5,5,6,5,7
P02,1,1,0,0,1,73.4,156.1,126.5,118.7,171.5,62,5,44,30,66,48,3,1,3,2,5,1,7,7,3,5,4,5,6,5,6,6,5
P03,1,1,1,1,1,89.7,88.6,81.1,116.3,176.1,42,6,18,36,52,30,4,0,3,2,3,3,6,7,5,6,7,5,6,6,6,7,5
P04,1,1,1,1,0,79.1,128.0,180.0,111.9,72.7,35,12,41,29,45,31,3,0,0,3,5,4,6,5,6,6,4,6,6,4,4,5,5
P05,1,0,1,1,1,52.2,77.4,180.0,127.2,83.7,51,14,40,26,61,27,3,0,4,3,3,2,7,3,5,7,5,6,5,5,5,5,7
P06,1,1,1,1,1,57.3,127.9,180.0,101.8,114.6,32,0,45,39,46,35,2,0,0,3,5,5,5,7,5,5,6,4,5,5,7,4,4
P07,1,1,1,1,1,64.5,136.9,145.5,111.1,132.1,56,19,63,36,49,47,2,0,3,3,4,3,6,7,6,7,6,6,5,6,6,6,5
P08,1,0,0,1,1,52.2,110.0,146.5,98.3,107.2,70,13,24,7,55,15,4,0,0,4,5,2,7,3,3,6,6,5,4,6,7,6,5
P09,1,1,1,1,1,102.8,180.0,144.5,101.4,87.1,25,13,34,8,69,37,4,1,1,3,3,3,7,7,6,5,7,5,6,7,6,6,5
P10,1,1,1,1,1,47.9,86.1,180.0,121.5,123.6,48,9,34,29,49,31,4,1,2,2,4,2,7,6,6,7,6,6,5,6,5,6,5
P11,1,1,1,1,0,109.8,124.1,115.7,99.5,166.9,59,9,30,27,51,39,5,1,1,2,5,1,7,6,7,6,3,6,4,6,6,6,5
P12,1,1,1,1,1,96.4,51.5,142.3,126.3,116.1,55,3,17,5,59,25,2,2,3,1,4,3,5,7,5,6,7,7,5,5,7,5,4
P13,1,1,1,1,1,71.6,128.5,120.3,109.7,93.2,42,7,33,24,45,33,4,1,4,1,5,0,7,6,7,7,6,5,6,4,6,5,4
P14,1,1,1,0,1,43.5,107.7,166.2,74.7,93.0,65,1,27,36,39,6,3,1,3,3,3,2,7,6,6,5,6,7,6,5,6,6,7
P15,1,1,1,0,1,97.0,71.1,121.0,111.1,136.3,33,1,33,44,58,21,4,1,2,2,5,1,7,7,6,4,6,7,6,7,5,6,7
